update,update_time,weights,cosine
1165,222.539157964,15.562999999999892_-2.4701184351980614_-7.400236870396044_16.590986601633187,0.3578797937363486
1166,225.650486235,15.549999999999892_-2.492118435198061_-7.349236870396044_16.612986601633185,0.3566024027904605
1167,225.651546223,15.548999999999893_-2.493118435198061_-7.347236870396044_16.613986601633187,0.35654148538210273
1168,225.652557288,15.356999999999893_-2.686118435198061_-7.577236870396044_16.652986601633188,0.3564034623833543
1169,225.653623112,15.354999999999892_-2.6971184351980613_-7.555236870396044_16.655986601633188,0.35606858124355956
1170,225.65459357699999,15.272999999999891_-2.8061184351980613_-7.635236870396044_16.680986601633187,0.3557664184119792
1171,225.935270618,15.27399999999989_-2.8061184351980613_-7.6312368703960445_16.680986601633187,0.3557299881632118
1172,226.182117826,15.292999999999891_-2.7901184351980612_-7.550236870396044_16.697986601633186,0.3545012262393027
1173,226.183194856,15.28799999999989_-2.7971184351980614_-7.542236870396044_16.699986601633185,0.3543030872462646
1174,226.316162862,15.28999999999989_-2.7951184351980616_-7.5382368703960445_16.699986601633185,0.35427302618145085
1175,226.317195717,15.30099999999989_-2.785118435198062_-7.513236870396044_16.699986601633185,0.35407391215423534
1176,226.318442904,15.11399999999989_-2.973118435198062_-7.734236870396044_16.742986601633184,0.353942153939803
1177,226.498066393,15.11399999999989_-2.973118435198062_-7.7112368703960446_16.742986601633184,0.3536316454439199
1178,226.498953621,14.856999999999891_-3.231118435198062_-8.019236870396044_16.794986601633184,0.3538800090102411
1179,226.49982237999998,14.78799999999989_-3.300118435198062_-7.952236870396044_16.805986601633183,0.35197948020179926
1180,226.500438446,14.78599999999989_-3.3021184351980617_-7.950236870396044_16.807986601633182,0.3518860152642086
1181,226.501062509,14.78499999999989_-3.3071184351980616_-7.900236870396045_16.82398660163318,0.35085199841817327
1182,226.501889541,15.03399999999989_-3.0581184351980615_-7.1632368703960445_16.81998660163318,0.3437399573997181
1183,226.503121814,15.029999999999891_-3.0631184351980614_-7.158236870396045_16.82298660163318,0.3435683483766534
1184,226.504243965,15.025999999999891_-3.0681184351980613_-7.138236870396045_16.82298660163318,0.3432662865012074
1185,226.667348744,15.037999999999892_-3.0551184351980614_-7.105236870396045_16.827986601633178,0.3428534709788307
1186,226.6687299,15.035999999999891_-3.0561184351980613_-7.104236870396044_16.827986601633178,0.3428116230883411
1187,226.66975316,15.006999999999891_-3.0911184351980614_-7.127236870396044_16.83798660163318,0.3425985935471152
1188,226.670521467,15.00799999999989_-3.0901184351980615_-7.122236870396044_16.83898660163318,0.34252220450027115
1189,227.444981353,15.01599999999989_-3.0821184351980615_-7.106236870396044_16.83898660163318,0.3424031253618205
1190,232.875185522,15.03099999999989_-3.0681184351980617_-7.075236870396044_16.84098660163318,0.34212975744132823
1191,232.87661729799999,15.03099999999989_-3.0681184351980617_-7.052236870396045_16.84098660163318,0.34182934559283606
1192,236.10013611899998,15.029999999999891_-3.0701184351980615_-7.049236870396045_16.84098660163318,0.34178478852320493
1193,236.101020084,15.04999999999989_-3.0601184351980617_-6.988236870396045_16.84998660163318,0.34108035660167424
1194,236.101843181,14.817999999999891_-3.292118435198062_-7.263236870396045_16.89598660163318,0.34108951843181134
1195,236.103077421,14.820999999999891_-3.289118435198062_-7.255236870396045_16.89598660163318,0.341015830257527
1196,236.103953312,14.825999999999892_-3.2901184351980617_-7.2272368703960455_16.89698660163318,0.3407139694110659
1197,236.372802696,14.825999999999892_-3.288118435198062_-7.2272368703960455_16.89698660163318,0.34070144623463383
1198,239.579408263,14.833999999999891_-3.281118435198062_-7.199236870396046_16.89698660163318,0.34042393043217545
1199,239.740621376,14.72899999999989_-3.3861184351980618_-7.302236870396046_16.91798660163318,0.3401950685429883
1200,239.742396635,14.576999999999892_-3.5371184351980616_-7.411236870396046_16.93998660163318,0.33956597331091964
1201,239.743116215,14.439999999999891_-3.7351184351980615_-7.302236870396046_17.03998660163318,0.33491790391721143
1202,239.744263223,14.442999999999891_-3.7291184351980617_-7.295236870396046_17.03898660163318,0.3348550962849408
1203,239.94029746,14.43799999999989_-3.7341184351980616_-7.300236870396046_17.03998660163318,0.3348501745955065
1204,240.191440452,14.44499999999989_-3.7271184351980615_-7.2832368703960455_17.04198660163318,0.3346488111015743
1205,240.19239569799998,14.35299999999989_-3.8551184351980616_-7.107236870396045_17.12498660163318,0.32982587804720387
1206,240.31961178,14.35699999999989_-3.8501184351980617_-7.100236870396046_17.12498660163318,0.32976551254502273
1207,240.460881933,14.370999999999889_-3.836118435198062_-7.064236870396046_17.12798660163318,0.3293623984880174
1208,240.681726199,14.367999999999888_-3.837118435198062_-7.054236870396046_17.126986601633178,0.32920657178928703
1209,240.822483978,14.374999999999888_-3.828118435198062_-7.035236870396046_17.128986601633176,0.3289678755078471
1210,240.823247903,14.384999999999888_-3.819118435198062_-7.001236870396046_17.132986601633178,0.3285395951842932
1211,241.0142409,14.387999999999888_-3.814118435198062_-6.985236870396046_17.13698660163318,0.32825880081595127
1212,241.695076851,14.390999999999888_-3.810118435198062_-6.982236870396046_17.135986601633178,0.32826388134502793
1213,241.853825201,14.388999999999887_-3.810118435198062_-6.981236870396046_17.135986601633178,0.3282163733781711
1214,242.178586863,14.398999999999887_-3.798118435198062_-6.952236870396046_17.13998660163318,0.32783551187425586
1215,245.272829258,14.396999999999887_-3.800118435198062_-6.947236870396046_17.14098660163318,0.327727842755243
1216,245.440175424,14.290999999999887_-3.906118435198062_-7.054236870396046_17.16398660163318,0.32759108157034333
1217,245.588753797,14.294999999999886_-3.900118435198062_-7.043236870396046_17.16398660163318,0.32747008798449007
1218,245.589741562,14.294999999999886_-3.8981184351980622_-7.043236870396046_17.16398660163318,0.3274558725045126
1219,245.758165343,14.144999999999886_-4.047118435198062_-7.147236870396046_17.18498660163318,0.32692734390745604
1220,245.759835932,14.143999999999886_-4.048118435198062_-7.1452368703960465_17.185986601633182,0.32686956406628775
1221,245.761631675,14.141999999999886_-4.051118435198062_-7.135236870396047_17.185986601633182,0.32672305175026384
1222,245.763297874,14.135999999999886_-4.055118435198062_-7.141236870396047_17.186986601633183,0.3267102956945115
1223,245.88598356,14.137999999999886_-4.0541184351980615_-7.134236870396047_17.186986601633183,0.3266426049123925
1224,245.887232204,14.137999999999886_-4.055118435198062_-7.129236870396047_17.187986601633185,0.3265614193683083
1225,245.888530089,14.131999999999886_-4.058118435198062_-7.078236870396047_17.181986601633184,0.3259238138613977
1226,246.216618512,14.393999999999886_-3.672118435198062_-6.274236870396047_17.177986601633183,0.3172920817288133
1227,246.218177761,14.392999999999887_-3.6731184351980617_-6.273236870396047_17.177986601633183,0.31726870476760616
1228,246.219539822,14.398999999999887_-3.664118435198062_-6.259236870396046_17.178986601633184,0.317113884521796
1229,246.22102518,14.408999999999887_-3.659118435198062_-6.065236870396046_17.205986601633185,0.314256242921752
1230,246.222166098,14.621999999999886_-3.446118435198062_-5.6372368703960465_17.204986601633184,0.31141735474483845
1231,246.365289971,14.606999999999886_-3.462118435198062_-5.647236870396046_17.209986601633183,0.31126913811374024
1232,246.366457246,14.603999999999886_-3.465118435198062_-5.644236870396046_17.209986601633183,0.31119901562939
1233,247.171505349,14.606999999999886_-3.461118435198062_-5.641236870396046_17.208986601633182,0.3112111755344007
1234,247.172581234,14.601999999999885_-3.469118435198062_-5.581236870396046_17.20198660163318,0.3106022700552695
1235,248.446193096,14.606999999999886_-3.464118435198062_-5.566236870396047_17.20298660163318,0.31045984978806085
1236,248.447140146,14.601999999999885_-3.471118435198062_-5.550236870396047_17.20498660163318,0.3101844307779178
1237,248.448159721,14.491999999999885_-3.581118435198062_-5.659236870396047_17.22698660163318,0.30979186894103916
1238,248.62174002999998,14.493999999999886_-3.5751184351980623_-5.643236870396047_17.23098660163318,0.3095111501418425
1239,248.622654143,14.149999999999887_-3.9201184351980625_-5.828236870396046_17.27898660163318,0.30706544014169357
1240,248.93777502999998,14.140999999999886_-3.9291184351980624_-5.833236870396046_17.28198660163318,0.30697182645348364
1241,249.07197179599999,14.133999999999887_-3.9341184351980623_-5.836236870396046_17.28298660163318,0.3069005824997496
1242,249.07341098999999,14.125999999999888_-3.9461184351980623_-5.828236870396046_17.28298660163318,0.30674839198561277
1243,249.262907394,14.122999999999887_-3.948118435198062_-5.828236870396046_17.28398660163318,0.30668924995586944
1244,249.408043908,13.977999999999888_-4.095118435198062_-5.932236870396046_17.30998660163318,0.3059846302324981
1245,249.409201706,13.975999999999887_-4.097118435198062_-5.929236870396046_17.30998660163318,0.30592700109907267
1246,249.898453699,13.971999999999888_-4.098118435198062_-5.915236870396046_17.31198660163318,0.30564779346261495
1247,250.538170035,13.976999999999888_-4.091118435198062_-5.897236870396046_17.31198660163318,0.3054578270074848
1248,250.538994874,13.975999999999889_-4.092118435198063_-5.883236870396046_17.31398660163318,0.3052322802012467
1249,250.898793445,13.97199999999989_-4.095118435198063_-5.875236870396046_17.31798660163318,0.3050029977838892
1250,250.899921694,13.96899999999989_-4.100118435198063_-5.8712368703960465_17.31798660163318,0.3049383754563897
1251,250.90080369,13.975999999999889_-4.093118435198063_-5.596236870396046_17.31498660163318,0.3016794803838191
1252,251.314770093,13.821999999999889_-4.247118435198063_-5.705236870396046_17.33898660163318,0.3009888770063631
1253,251.668331365,13.819999999999888_-4.249118435198063_-5.705236870396046_17.339986601633182,0.3009489814400492
1254,251.848227694,13.832999999999888_-4.235118435198062_-5.674236870396046_17.34198660163318,0.3006459599434774
1255,251.849225819,13.817999999999888_-4.2541184351980625_-5.662236870396047_17.34198660163318,0.30038210886531025
1256,251.850133928,13.815999999999887_-4.263118435198063_-5.635236870396047_17.348986601633182,0.2999448480209199
1257,251.971158877,13.816999999999886_-4.257118435198063_-5.632236870396047_17.349986601633184,0.2998575890206303
1258,251.971976746,13.824999999999886_-4.249118435198063_-5.6052368703960465_17.352986601633184,0.29954457618387953
1259,251.972857634,13.840999999999886_-4.233118435198063_-5.567236870396046_17.354986601633183,0.29919767794616603
1260,252.130132465,13.833999999999886_-4.240118435198062_-5.572236870396046_17.355986601633184,0.2991692110877232
1261,252.131206435,13.650999999999886_-4.466118435198062_-5.729236870396046_17.391986601633185,0.2989649113766275
1262,252.13216253299998,13.918999999999887_-4.1981184351980625_-5.191236870396046_17.390986601633184,0.2950904352453494
1263,252.324547097,14.115999999999886_-4.001118435198062_-4.955236870396046_17.354986601633183,0.29511836377299294
1264,252.621292268,14.114999999999887_-4.001118435198062_-4.945236870396046_17.35698660163318,0.2949452944364207
1265,252.832816012,14.115999999999886_-3.9971184351980624_-4.940236870396046_17.357986601633183,0.2948555208608701
1266,263.210841817,14.105999999999886_-4.005118435198062_-4.884236870396046_17.352986601633184,0.2941931108347564
1267,264.428999755,14.104999999999887_-4.006118435198062_-4.882236870396047_17.352986601633184,0.29415961369349963
1268,264.669203394,14.098999999999887_-4.013118435198062_-4.875236870396047_17.354986601633183,0.2939835010565286
1269,264.670304863,14.071999999999887_-4.045118435198062_-4.840236870396047_17.358986601633184,0.2932565011611844
1270,264.917120334,14.072999999999887_-4.044118435198062_-4.836236870396047_17.358986601633184,0.29322167106278485
1271,265.07475442000003,14.060999999999886_-4.045118435198062_-4.8132368703960475_17.372986601633183,0.2924680488952238
1272,265.25369676500003,14.057999999999886_-4.047118435198062_-4.810236870396047_17.374986601633182,0.29235451456750094
1273,266.36562383100005,14.054999999999886_-4.050118435198062_-4.8132368703960475_17.372986601633183,0.29239644928906694
1274,266.366668951,14.055999999999885_-4.048118435198062_-4.810236870396047_17.372986601633183,0.29236521964446693
1275,266.36756989,14.063999999999885_-4.038118435198062_-4.732236870396047_17.374986601633182,0.2915138266796772
1276,266.368702776,14.069999999999885_-4.031118435198063_-4.714236870396047_17.372986601633183,0.29140748504851544
1277,267.106523164,14.073999999999884_-4.028118435198063_-4.698236870396047_17.371986601633182,0.29129841145199453
1278,267.1081456,14.078999999999885_-4.021118435198063_-4.653236870396047_17.37998660163318,0.2906741685401385
1279,267.109529818,14.078999999999885_-4.020118435198063_-4.652236870396047_17.37998660163318,0.29065519249101224
1280,270.02109032500005,14.061999999999886_-4.036118435198063_-4.665236870396047_17.386986601633183,0.2904714876589374
1281,270.14525510500005,14.064999999999886_-4.029118435198063_-4.626236870396047_17.394986601633182,0.2898787812064083
1282,270.269410418,14.064999999999886_-4.029118435198063_-4.625236870396047_17.394986601633182,0.2898676473669305
